Headline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford Motor Co is considering making its own batteries as sales volumes of electric vehicles rise around the world the automaker s top executive said on Friday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric vehicles  EVs  benefiting globally from a push for tighter emissions controls are facing challenges after a global string of fires from overheating batteries ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All vehicles of Fiat Chrysler s premium brand Maserati will be electrified either hybrid or full electric in the next five years the unit s chief executive said on Thursday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All vehicles of Fiat Chrysler s premium brand Maserati will be electrified either hybrid or full electric in the next five years the unit s chief executive said on Thursday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The CEO of France s PSA Group  PEUP PA  expects further consolidation of the automotive sector as carmakers invest vast sums in producing electric vehicles he said on Monday adding that some will not make it through the coming decade ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U S electric vehicle maker Tesla is looking at expanding in Europe by entering the mass market segment with a compact car Chief Executive Elon Musk said on Tuesday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM is backing away from an agreement to take a stake in electric automaker Nikola Corp marking the collapse of a deal that has been problematic since it was announced just two months ago Shares of Nikola plummeted more than     in pre market trading Monday  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Companies that launch robotaxi services in California will be able to charge for and offer shared driverless rides as long as they can navigate a new government approval process that some in the industry argues adds unnecessary bureaucracy that could delay de ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan s government is considering abolishing sales of new gasoline powered cars and replace them with hybrid or electric vehicles to promote a global shift away from gasoline cars the public broadcaster NHK reported on Thursday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan s government is considering abolishing sales of new gasoline engine cars by the mid     s in favour of hybrid or electric vehicles in line with a global shift from traditionally powered cars public broadcaster NHK reported on Thursday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan s government is considering abolishing sales of new gasoline engine cars by the mid     s in favour of hybrid or electric vehicles in line with a global shift from traditionally powered cars public broadcaster NHK reported on Thursday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German luxury carmaker Daimler  DAIGn DE  on Thursday said it plans to double sales of its Maybach branded Mercedes Benz vehicles after selling        vehicles last year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German luxury carmaker Daimler on Thursday said it plans to double sales of its Maybach branded Mercedes Benz vehicles after selling        vehicles last year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan s government is considering abolishing sales of new gasoline engine cars by the mid     s in favor of hybrid or electric vehicles in line with a global shift from traditionally powered cars public broadcaster NHK reported on Thursday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan s trade ministry is considering support for a shift to electric powered vehicles and will map out a plan by the year end chief government spokesman Katsunobu Kato told a news conference on Thursday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An aggressive China led shift to electric vehicles is expected to slash global oil demand growth by     by      and will help bring an end to the  oil era  according to research by the Carbon Tracker think tank published on Friday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai faces lawsuit over EV fires as GM launches recall Reuters India,Hyundai Motor Co is being sued over a string of battery fires in its electric vehicles  EVs  just as General Motors Co recalls nearly        EVs with batteries from the same maker LG Chem Ltd ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Canadian province of Quebec said on Monday it will ban the sale of new gasoline powered passenger cars as of      joining California and others in announcing moves to shift to electric vehicles and reduce greenhouse gas emissions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The European Union could produce enough batteries by      to power its fast growing fleet of electric vehicles without relying on imported cells European Commission Vice President Maros Sefcovic said on Tuesday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The European Union could produce enough batteries by      to power its fast growing fleet of electric vehicles without relying on imported cells European Commission Vice President Maros Sefcovic said on Tuesday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai Motor Co is planning to recall a total of        Kona electric cars and Nexo fuel cell vehicles in South Korea due to faulty electronic braking systems the transport ministry said ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai Motor Co is planning to recall a total of        Kona electric cars and Nexo fuel cell vehicles in South Korea due to faulty electronic braking systems the transport ministry said ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai Motor Co is planning to recall a total of        Kona electric cars and Nexo fuel cell vehicles in South Korea due to faulty electronic braking systems the transport ministry said ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elon Musk would consider leveraging Tesla s mega     billion market cap to buy a legacy automaker but only if it was on friendly terms the billionaire entrepreneur said Tuesday in a wide ranging interview with Axel Springer CEO Mathias D pfner Musk who re ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The head of Peugeot maker PSA Group expects more consolidation in the auto industry as carmakers invest vast sums to make electric vehicles he said on Monday while predicting some wouldn t make it through the coming decade ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
